Symbol,Entry Date,Shares,Entry Price,Highest,Partial,Stop,Entry Index,Recom By
VTI,04/05/2026,2,295.83,213,False,0,0,minervini
NVDA,04/05/2026,2,143.83,213,False,0,0,minervini
PLTR,04/05/2026,2,143.63,213,False,0,0,minervini
TSM,04/05/2026,2,198.56,213,False,0,0,minervini
CRWD,04/05/2026,2,420.34,213,False,0,0,minervini
V,04/05/2026,2,255.11,213,False,0,0,minervini
MSFT,04/05/2026,2,497.78,213,False,0,0,minervini
MA,04/05/2026,2,451.24,213,False,0,0,minervini
AMD,04/05/2026,2,252.38,213,False,0,0,minervini
JPM,04/05/2026,2,234.38,213,False,0,0,minervini
AMZN,04/05/2026,2,218.59,213,False,0,0,minervini
ASML,04/05/2026,2,881.69,213,False,0,0,minervini
AVGO,04/05/2026,2,362.32,213,False,0,0,minervini
AUG,04/05/2026,2,58.44,213,False,0,0,minervini
SOXX,04/05/2026,2,207.15,213,False,0,0,minervini
BRK.B,04/05/2026,2,363.92,213,False,0,0,minervini
LLY,04/05/2026,2,894.07,213,False,0,0,minervini
SPGI,04/05/2026,2,353.60,213,False,0,0,minervini
META,04/05/2026,2,563.77,213,False,0,0,minervini
AAPL,04/05/2026,2,231.57,213,False,0,0,minervini
GOOGL,04/05/2026,2,162.90,213,False,0,0,minervini
ANET,04/05/2026,2,95.47,213,False,0,0,minervini
TSLA,04/05/2026,2,432.72,213,False,0,0,minervini
